,,,,,,,,,,,,
,,,견적가,,,수주가,,,,,,
,순,고객명,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,
,2,김포골드라인,0,0,0,0,0,0,,,,
,3,서울교통공사,186300000,186300000,0,1200000,1200000,0,0.00644122383252818,,,네이버시스템 법정관리로 서울교통공사 변제 구두 약속
,4,현대로템,118413340,9983340,108430000,9983340,9983340,0,0.08430925096783859,,,
,5,실리콘큐브,0,0,0,0,0,0,,,,
,6,무한테크,0,0,0,0,0,0,,,,
,7,다원시스,540623467,540623467,0,287000000,287000000,0,0.530868557357685,,,
,8,티랩,0,0,0,0,0,0,,,,
,9,마루소프트,0,0,0,0,0,0,,,,
,10,신진금고,0,0,0,0,0,0,,,,
,11,인터모빌리티,82990000,0,82990000,0,0,0,0,,,
,12,GMTECH,575270000,0,575270000,0,0,0,0,,,
,13,Onsemi,8000000,0,8000000,0,0,0,0,,,
,,,,,,,,,,,,
,,합계,1906832482.6999998,1132142482.6999998,774690000,693419015.7,693419015.7,0,0.36364967661875885,,,
