,,,,,,,,,,,,,,,,,,,,,,,,
,2026년 주식회사 지에이티 업무 진행현황,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,필요시 수정,필요시 수정,진행사항 기술,,,,,,,,,,,,
,순,고객,국가,PO or RFQ no.,견적 or 계약일자,납품일자,프로젝트명,고객담당자,진행,구분,담당,진행사항,지시사항,견적가,,,수주금액,,,제조원가,손익(%),입금 총액,"2025년
,3,HST (튀르키예),튀르키예,,,,Yenikapi istanbul Metro_Power Amp외 2종,,진행,영업/생산,장덕수,"12월 30일, 현대로템 예니카프 품목의 협의에 따라서 방향을 잡을 예정",,,,,,,,,,,,
,4,인터모빌리티,"한국
(POSCO)",,,,POSCO TCMS 관련 통신보드 HW 개발,,진행,연구소,김대양,"12월 29일, 종결 보고서 제출
12월 31일, 노이즈 유기 원인에 대한 설명 및 근본적 보완 방법(케이블 차폐)에 대한 안내 완료","12월 30일, 노이즈 관련 책임소재 명확히 주지시키고 GAT의 책임으로 전가되지 않도록 조치 요함",18312700,18312700,,18312700,18312700,,,,0,18312700,"2025년 수주 이월 / 250728 계약 완료 /
250801 선금(30%) 입급 완료"
,5,지엠테크,인도네시아,OS02,2025-09-25 00:00:00,2026-01-31 00:00:00,자카르타 경전철 방송장치 보드류 예비품,,진행,영업/생산,장덕수,"11월 27일, NVR, SSD, TCIU, 허브 S/W 준비중
1월 2일, 납품일정계획 작성 완료.",1월 2일 스포트웨어 최종 점검 및 납품 전 대금지급 절차 진행할 것 (납품일정계획 반영 필요),24632800,24632800,,24632800,24632800,,,,0,24632800,2025년 수주 이월 / 251015 선수금 입금 완료
,6,다원시스,한국,DWE-2024-AUG-29-001,,,4호선 방송편집기 소프트웨어개발,,진행,연구소,장덕수,"12월 4일, 홍콩 KTU 건과 묶어서 DX에서 용역 수행 계약 체결
12월 30일, 디엑에서 업무 진행 중이며, 다원에서 기능 확인 중. 2월 종결 예상",,56000000,56000000,,56000000,56000000,0,,,0,56000000,"2024년 수주 이월 / 2024년 계약 및 선금(30%) 입금 완료 /
2025년 중도금(30%) 입금 완료"
,8,지에이티,,,-,-,TCMS 독자모델,,,연구소,"강남궐
김용종",향후 진행 방향 논의 필요,,,,,,,,,,,,
,,,,,,,PAPIS 독자모델,,,연구소,"강남궐
이동진",향후 진행 방향 논의 필요,,,,,,,,,,,,
,8,서울교통공사,한국,,,,7호선 3차분 CSC 대 수선,,대기,연구소,장덕수,서울교통공사에서 나라장터 통한 입찰공고 준비 중 (2026년),,72080000,,72080000,,,,,,,,
,,총계,,,,,,,,-,-,,,3168610900,1012911900,2155699000,393736200,393736200,0,,,0,393736200,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,범례,,,,,,,,,,,,,,,,,,,,,
,,,수주(발주/계약) 성공,녹색 표기,,,,,,,,,,,,,USD,1200,,,,,,
,,,견적 완료,청색 표기,,,,,,,,,,,,,Euro,1400,,,,,,
,,,견적 진행,견적 진행,,,,,,,,,,,,,,,,,,,,
,,,견적 기한 만료,자색 표기,,,,,,,,,,,,,,,,,,,,
,,,수주 실패,적색 표기,,,,,,,,,,,,,HKD,140,,,,,,
,,,진행 중 포기,적색 및 취소선 표기,,,,,,,,,,,,,SGD,800,,,,,,
,,,,,,,,,,,,,,,,,AUD,830,,,,,,
,,,,,,,,,,,,,,,,,NZD,850,,,,,,
,,,,,,,,,,,,,,,,,CNY,160,,,,,,
,,,,,,,,,,,,,,,,,GBP,1700,,,,,,
,,,,,,,,,,,,,,,,,JPY,9.2,,,,,,
