,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2025년,2026년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,395235675.6999999,395235675.6999999,0,395235675.7,395235675.7,0,1.0000000000000002,,,
,2,현대로템,,527373790,527373790,0,28567790,28567790,0,0.054169908595571276,,,"250818 [KTU 신역사] 라이선스 리스크 비용 책정 검토
250702 [9호선 열차번호표시기 SW] e-mail로 PO 대체 /
250724 예비품 개발 가능 여부 검토 중"
,3,인터모빌리티,,71836909,71836909,0,71836909,71836909,0,1,,,
,4,다원시스,,510623467,287000000,223623467,287000000,287000000,0,0.5620579909618607,,,
,5,서울교통공사,,258380000,0,258380000,1200000,1200000,0,0.004644322315968728,,,
,6,고구려엔지니어링,,328059000,0,328059000,,,,,,,
,7,GMTECH,,30791000,30791000,0,0,0,0,0,,,
,8-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,
,8-2,,Onsemi,8000000,0,8000000,0,0,0,0,,,
,8-3,,실리콘큐브,0,0,0,0,0,0,,,,
,8-4,,무한테크,0,0,0,0,0,0,,,,
,8-5,,티랩,0,0,0,0,0,0,,,,
,8-6,,마루소프트,0,0,0,0,0,0,,,,
,8-7,,신진금고,0,0,0,0,0,0,,,,
,8-8,,위플랫,120000000,0,120000000,0,0,0,0,,,
,,,,,,,,,,,,,
,,합계,,2250299841.7,1312237374.6999998,938062467,783840374.7,783840374.7,0,0.3483270807626436,,,
