,,,,,,,,,,,,,,,
,,,,견적가,,,,수주가,,,,,,,
,구분,순,고객명,Total,AB,CD,,전체수주가,2024년 수주가,2025년 수주가,수주율,제작사원가,매출손익,손익율,비고
,생산,1,지아이씨,1488279419,1488279419,0,,1488279419,1095856869,392422550,1,0,,,
,,2,교통공사,207254910,207254910,,,,,,,,,,
,,3,다원시스,873183586,410843306,0,,410000000,123000000,287000000,0.4695461602504287,0,,,
,,4,실리콘큐브,46840000,46840000,0,,46840000,46840000,0,1,0,,,
,,5,티랩,482560000,0,0,,0,0,0,0,0,,,
,,6,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,소계,3098117915,2153217635,0,,1945119419,1265696869,679422550,0.6278390533757331,0,0,0,
