Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,HongKong MTR,,,,,,,,,,,,,,
Model / Ver.,,HK_AMP1_A2,,,,,,,,,,,,,,
Date,,2014. 7. 14,,,,,201,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,5,35,Tantal Cap,Capacitor,22uF/35V/D,,5,"CT31,CT36,CT37,CT38,CT39",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,6,36,Tantal Cap,Capacitor,47uF/25V/D,,6,"CT21,CT22,CT23,CT26,CT29,CT32",CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,37,Tantal Cap,Capacitor,100uF/16V/D,,1,CT33,CWR,,−55°C ~ +85°C,D(7343),0,0,,
,1,38,Chip Capacitor,Capacitor,221P,,1,C11,CDR,,−55°C ~ +125°C,1608,0,0,,
,1,39,Chip Capacitor,Capacitor,202P,,1,C57,CDR,,−55°C ~ +125°C,1608,0,0,,
,1,40,Chip Capacitor,Capacitor,222P,,1,C56,CDR,,−55°C ~ +125°C,1608,0,0,,
,4,41,Chip Capacitor,Capacitor,473P,,4,"C26,C27,C32,C33",CDR,,−55°C ~ +125°C,1608,0,0,,
,14,42,Chip Capacitor,Capacitor,104P,,14,"C1,C4,C5,C6,C8,C14,C21,C22,C23,C24,
C25,C28,C30,C31",CDR,,−55°C ~ +125°C,1608,0,0,,
,1,43,Chip Capacitor,Capacitor,154P,,1,C55,CDR,,−55°C ~ +125°C,1608,0,0,,
,3,44,Chip Capacitor,Capacitor,224P,,3,"C50,C53,C54",CDR,,−55°C ~ +125°C,1608,0,0,,
,10,45,Chip Capacitor,Capacitor,105P,,10,"C7,C12,C13,C29,C51,C52,C58,C59,C60,C62",CDR,,−55°C ~ +125°C,1608,0,0,,
,9,46,Chip Resistor,Resistor,0R,,9,"R21,R22,R23,R24,R25,R31,R110,R111,R121",RM,,−55°C ~ +155°C,1608,0,0,,
,24,47,Chip Resistor,Resistor,10R,,24,"R2,R4,R32,R35,R37,R38,R39,R40,R41,R42,
R48,R49,R50,R51,R52,R53,R112,R113,R117,
R118,R127,R128,R132,R137",RM,,−55°C ~ +155°C,1608,0,0,,
,1,48,Chip Resistor,Resistor,101R,,1,R116,RM,,−55°C ~ +155°C,1608,0,0,,
,8,49,Chip Resistor,Resistor,151R,,8,"R13,R14,R15,R16,R17,R18,R19,R20",RM,,−55°C ~ +155°C,1608,0,0,,
,1,50,Chip Resistor,Resistor,471R,,1,R12,RM,,−55°C ~ +155°C,1608,0,0,,
,2,51,Chip Resistor,Resistor,1K,,2,"R36,R133",RM,,−55°C ~ +155°C,1608,0,0,,
,2,52,Chip Resistor,Resistor,2.2K,,2,"R120,R131",RM,,−55°C ~ +155°C,1608,0,0,,
,1,53,Chip Resistor,Resistor,3.83K/1%,,1,R122,RM,,−55°C ~ +155°C,1608,0,0,,
