,,,,,,,,,,,,,
,,,,견적가,,,수주가,,,,,,
,순,고객명,,전체,AB등급,CD등급,전체,2026년,2027년 이월,수주율(%),제조원가,손익(%),비고
,1,지아이씨,,885791700,619175700,266616000,0,0,0,0,,,
,2,현대로템,,2111793700,294790700,1817003000,294790700,294790700,0,0.13959256531544725,,,"2025년 수주 이월 1건 (\ 294,790,700)"
,3,HST (튀르키예),,0,0,0,0,0,0,,,,
,4,인터모빌리티,,18312700,18312700,0,18312700,18312700,0,1,,,"2025년 수주 이월 1건 (\ 18,312,700)"
,5,GMTECH,,24632800,24632800,0,24632800,24632800,0,1,,,"2025년 수주 이월 1건 (\ 24,632,800)"
,6,다원시스,,56000000,56000000,0,56000000,56000000,0,1,,,"2024년 수주 이월 1건 (\ 56,000,000)"
,7,서울교통공사,,72080000,0,72080000,0,0,0,0,,,
,8-1,기타,김포골드라인SRS,0,0,0,0,0,0,,,,
,8-2,,고구려엔지니어링,0,0,0,0,0,0,,,,
,8-3,,실리콘큐브,0,0,0,0,0,0,,,,
,8-4,,무한테크,0,0,0,0,0,0,,,,
,8-5,,티랩,0,0,0,0,0,0,,,,
,8-6,,마루소프트,0,0,0,0,0,0,,,,
,8-7,,신진금고,0,0,0,0,0,0,,,,
,8-8,,위플랫,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,
,,합계,,3168610900,1012911900,2155699000,393736200,393736200,0,0.12426145475924481,,,
