,,,,,,,,,,,,,,,,,,,,,,,,,
,2025년 주식회사 지에이티 업무 진행현황,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,필요시 수정,필요시 수정,진행사항 기술,,,,,,,,,,,,,
,순,고객,국가,PO or RFQ no.,견적 or 계약일자,납품일자,프로젝트명,고객담당자,진행,구분,담당,진행사항,지시사항,견적가,,,수주금액,,,제조원가,손익(%),입금 총액,"2025년
잔금",비고,
,,,,,,,,,,,,,,전체,AB,CD,전체,2025년,2026년,,,,,,
,1,지아이씨,홍콩,CSP24-0524-1,,,"MOP, MSR, CTM 생산",,진행,영업/생산,장덕수,"10월 22일, MTR진행사항에 있음.
11월 27일, 현재 문제점정리요.","1. MOP의 MS1과 MS2의 소프트웨어변경.
2. MSR Log file 관련보고서 작성.
3. 우진산전 NVR board분석",245497525,245497525,,245497525,245497525,0,,,110026902,135470623,2024년 수주 이월,
,,,홍콩,CSP24-0913-1,,,"MOP, MSR, CTM 3종에 대한 PCB",,완결,영업/생산,장덕수,,,105304551,105304551,,105304551,105304551,0,,,105304551,0,"2024년 수주 이월 / 250808 대금 30%(\105,304,551) 입금 / 프로젝트 종료",
,,,홍콩,CSP24-0923-1,,,MSR PWR BOARD. FOR MSR.,,완결,영업/생산,장덕수,,,44433600,44433600,,44433600,44433600,0,,,44433600,0,2024년 수주 이월 / 프로젝트 종료,
,,,홍콩,,,,SCL 333량 SALOON CAMERA,,대기,연구소,장덕수,"10월 22일, 10월 21일 MTR에 제안서 제출 완료
11월 27일, MTR검토중에 있음.",MTR RFQ대기,266616000,266616000,,,,,,,,,251021 견적서 제출 완료,
,,,홍콩,,,,TCL DRM 개조,,진행,연구소,이상영,"10월 22일, 10월 13일 MTR에 제안서 제출 완료
11월 27일, MTR제안서 제출완료.",MTR RFQ대기,,,,,,,,,,,,
,,,홍콩,,,,NVR system interface,,진행,연구소,장덕수,"기술적인 필요사항들을 정리하여 보고 예정
11월 27일, 제안서 및 예산을 통보해야 함. (MTR 11월 26일까지 요청했음)",Proposal해야 함.,,,,,,,,,,,251002 예비 제안서 및 견적서 제출 요청,
,,,한국,,,,PAPIS 모델,,진행,연구소,김용종,"향후 방향의 보고서작성요.
독자모델 보고서 작성완료",Family tree 방식으로 작성,,,,,,,,,,,,
